x,t
36.451727,128.243674
36.45196,128.244176
36.519655,128.26413
36.448218,128.222222
36.44455,128.227164
36.485571,128.193601
36.466105,128.208927
36.509251,128.20689
36.444083,128.230677
36.485617,128.213892
36.487172,128.21134
36.484323,128.173746
36.479974,128.247519
36.50259,128.194242
36.488394,128.252341
36.467501,128.184475
36.490279,128.253473
36.517198,128.262098
36.465103,128.207096
36.486027,128.189117
36.484009,128.192869
36.494498,128.235777
36.473678,128.2365
36.505653,128.190885
36.478168,128.220928
36.462428,128.201357
36.493538,128.235839
36.453762,128.221319
36.461004,128.214749
36.492157,128.189228
36.515922,128.261388
36.48829,128.258054
36.494699,128.236628
36.445811,128.214342
36.49447,128.250985
36.493548,128.188509
36.462672,128.207756
36.426361,128.270839
36.426,128.27125
36.426677,128.270505
36.426643,128.269937
36.426502,128.268196
36.42643,128.268453
36.426443,128.266735
36.426228,128.26611
36.424806,128.264889
36.427021,128.269938
36.427419,128.269482
36.427223,128.268288
36.426657,128.267438
36.427412,128.268679
36.427591,128.269014
36.42795,128.269818
36.429083,128.270926
36.429865,128.271621
36.429828,128.272089
36.428683,128.26846
36.428069,128.26886
36.428393,128.268893
36.467635,128.18858
36.429206,128.26973
36.429289,128.270261
36.42967,128.270181
36.428878,128.269777
36.428809,128.270431
36.428068,128.269406
36.438322,128.274205
36.438689,128.275132
36.439267,128.274922
36.437999,128.273411
36.440599,128.275785
36.425959,128.2487
36.426256,128.249013
36.426713,128.250008
36.42699,128.25128
36.427154,128.250243
36.426634,128.249136
36.426995,128.249061
36.426915,128.248525
36.427095,128.248302
36.426005,128.248411
36.425771,128.247986
36.425421,128.247582
36.425025,128.247214
36.425639,128.246569
36.426349,128.247386
36.42408,128.263015
36.426191,128.261805
36.462569,128.284432
36.462243,128.285023
36.461442,128.284427
36.460047,128.283708
36.459469,128.284164
36.458848,128.283995
36.457332,128.268982
36.457774,128.268996
36.492255,128.237931
36.457348,128.269798
36.460304,128.26597
36.460558,128.265525
36.460609,128.266596
36.460104,128.266762
36.459814,128.267564
36.460055,128.26868
36.460568,128.26896
36.460588,128.2678
36.464871,128.258288
36.464684,128.257704
36.46383,128.256788
36.464069,128.254636
36.475551,128.270963
36.475119,128.27063
36.475857,128.271301
36.476271,128.27127
36.476064,128.271448
36.475576,128.271759
36.475126,128.271489
36.465675,128.257977
36.465216,128.257875
36.46362,128.253842
36.464071,128.253732
36.46409,128.253141
36.46319,128.252803
36.466179,128.258491
36.420836,128.258974
36.420519,128.259533
36.420611,128.258719
36.419852,128.25992
36.420061,128.258807
36.414302,128.305703
36.414391,128.304732
36.414797,128.304752
36.429187,128.268886
36.415325,128.305662
36.415514,128.304999
36.413687,128.305461
36.413653,128.304724
36.421425,128.303161
36.412992,128.305726
36.41247,128.305579
36.411493,128.30688
36.412726,128.307509
36.42149,128.302537
36.421636,128.301813
36.421045,128.303784
36.420843,128.305523
36.420092,128.306658
36.418438,128.310617
36.408414,128.305775
36.40828,128.305128
36.407917,128.306152
36.405305,128.30564
36.449261,128.311782
36.446059,128.316185
36.427383,128.261705
36.427348,128.284258
36.430863,128.272594
36.41535,128.292567
36.430988,128.288488
36.429214,128.313017
36.449049,128.310018
36.449303,128.309461
36.450141,128.309621
36.450899,128.309267
36.450791,128.308965
36.450259,128.308986
36.450116,128.308606
36.449745,128.309306
36.458122,128.270558
36.449756,128.30837
36.405785,128.337886
36.427822,128.316866
36.428474,128.316706
36.428511,128.316182
36.428612,128.315491
36.428514,128.315133
36.42884,128.314544
36.429156,128.314322
36.428508,128.314096
36.42809,128.315199
36.443637,128.318363
36.429659,128.315037
36.417887,128.264119
36.418292,128.264154
36.417696,128.264754
36.418001,128.265413
36.418866,128.265302
36.418814,128.264557
36.415837,128.265929
36.413097,128.267586
36.412158,128.268005
36.409701,128.269118
36.408844,128.269295
36.408839,128.271748
36.410091,128.271796
36.410894,128.271677
36.417802,128.253133
36.418571,128.252033
36.417415,128.252832
36.420836,128.250368
36.421909,128.250092
36.421919,128.249646
36.421037,128.249486
36.421695,128.249066
36.415145,128.306315
36.419651,128.248368
36.415984,128.25198
36.415356,128.250696
36.416956,128.252496
36.417522,128.25358
36.417529,128.254348
36.41722,128.255619
36.418738,128.281907
36.418797,128.283547
36.4194,128.283917
36.418305,128.282007
36.41798,128.282351
36.418258,128.282987
36.41831,128.283601
36.418372,128.284025
36.417392,128.283274
36.416469,128.284609
36.415891,128.285109
36.415701,128.285464
36.41607,128.285589
36.416359,128.285523
36.416783,128.285491
36.417116,128.285671
36.416745,128.28598
36.417196,128.286206
36.414749,128.287948
36.415235,128.288307
36.414151,128.289306
36.413734,128.290052
36.413408,128.290876
36.412664,128.289345
36.410658,128.316142
36.404335,128.318034
36.403927,128.318969
36.403279,128.318721
36.449548,128.30886
36.405713,128.318296
36.406791,128.317966
36.407967,128.317915
36.409031,128.317686
36.409645,128.317387
36.41035,128.316676
36.412417,128.315592
36.403167,128.316524
36.411721,128.316214
36.411664,128.317117
36.410996,128.317603
36.412576,128.316496
36.412692,128.31692
36.412287,128.31344
36.406873,128.319426
36.404085,128.323853
36.405526,128.33376
36.405067,128.333667
36.404776,128.334559
36.405181,128.334717
36.405809,128.335779
36.405912,128.33462
36.441072,128.320555
36.44002,128.323066
36.440706,128.322589
36.428861,128.31335
36.402545,128.316566
36.413975,128.291368
36.413766,128.291723
36.413738,128.292137
36.414408,128.290901
36.414613,128.291806
36.41475,128.291304
36.41317,128.29238
36.431457,128.288545
36.420641,128.249118
36.432127,128.287231
36.431513,128.287575
36.431169,128.288041
36.472416,128.266469
36.465035,128.259049
36.458712,128.264491
36.458087,128.269912
36.458601,128.269724
36.459046,128.284871
36.446543,128.277435
36.43746,128.265066
36.411706,128.271368
36.418523,128.249011
36.4229,128.250497
36.421326,128.248752
36.430449,128.287939
36.416098,128.292971
36.439783,128.320801
36.415555,128.286345
36.419064,128.285065
36.429472,128.314357
36.415901,128.310232
36.409081,128.272449
36.419453,128.264726
36.422514,128.249871
36.474432,128.271386
36.415602,128.307264
36.429822,128.286263
36.417786,128.305968
36.4131,128.252093
36.396399,128.326608
